name	descr	gene	fs_len	org_name	kingdom	phylum	genus
MA_RS02010	protoporphyrin IX magnesium chelatase	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS23120	protoporphyrin IX magnesium chelatase	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS02030	protoporphyrin IX magnesium chelatase	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS02015	cobaltochelatase subunit CobN	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS24220	hypothetical protein	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS02025	cobaltochelatase subunit CobN	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
MA_RS01840	protoporphyrin IX magnesium chelatase	NA	NA	Methanosarcina acetivorans C2A	Archaea	Euryarchaeota	Methanosarcina
PP_3506	magnesium chelatase subunit ChII	NA	NA	Pseudomonas putida KT2440	Bacteria	Proteobacteria	Pseudomonas
PP_3506_fs_PP_3505	magnesium chelatase subunit ChII | hypothetical protein	NA	-1	Pseudomonas putida KT2440	Bacteria	Proteobacteria	Pseudomonas
PP_3507	aerobic cobaltochelatase subunit CobN	cobN	NA	Pseudomonas putida KT2440	Bacteria	Proteobacteria	Pseudomonas
CV_RS07680	VWA domain-containing protein	NA	NA	Chromobacterium violaceum ATCC 12472	Bacteria	Proteobacteria	Chromobacterium
CV_RS07685	cobaltochelatase	NA	NA	Chromobacterium violaceum ATCC 12472	Bacteria	Proteobacteria	Chromobacterium
PSPTO_3148	magnesium chelatase, subunit ChII	NA	NA	Pseudomonas syringae pv. tomato str. DC3000	Bacteria	Proteobacteria	Pseudomonas
PSPTO_3148_fs_PSPTO_3147	magnesium chelatase, subunit ChII | hypothetical protein	NA	-1	Pseudomonas syringae pv. tomato str. DC3000	Bacteria	Proteobacteria	Pseudomonas
PSPTO_3149	cobaltochelatase subunit CobN	NA	NA	Pseudomonas syringae pv. tomato str. DC3000	Bacteria	Proteobacteria	Pseudomonas
MAP_RS14940	VWA domain-containing protein	NA	NA	Mycobacterium avium subsp. paratuberculosis K-10	Bacteria	Actinobacteria	Mycobacterium
MAP_RS09185	cobaltochelatase subunit CobN	NA	NA	Mycobacterium avium subsp. paratuberculosis K-10	Bacteria	Actinobacteria	Mycobacterium
MAP_RS04585	magnesium chelatase	NA	NA	Mycobacterium avium subsp. paratuberculosis K-10	Bacteria	Actinobacteria	Mycobacterium
Pro_0319	Protoporphyrin IX Mg-chelatase subunit ChlD	chlD	NA	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	Cyanobacteria	Prochlorococcus
Pro_0957	Cobalamin biosynthesis protein CobN	cobN	NA	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	Cyanobacteria	Prochlorococcus
Pro_0903	Protoporphyrin IX Mg-chelatase subunit	chlH	NA	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	Cyanobacteria	Prochlorococcus
Pro_1146	Protoporphyrin IX Mg-chelatase subunit ChlI	chlI	NA	Prochlorococcus marinus subsp. marinus str. CCMP1375	Bacteria	Cyanobacteria	Prochlorococcus
TDE0750	magnesium chelatase subunit D/I	NA	NA	Treponema denticola ATCC 35405	Bacteria	Spirochaetes	Treponema
TDE0749	cobalamin biosynthesis protein CobN	NA	NA	Treponema denticola ATCC 35405	Bacteria	Spirochaetes	Treponema
TDE0751	magnesium chelatase subunit D/I	NA	NA	Treponema denticola ATCC 35405	Bacteria	Spirochaetes	Treponema
MTH_RS09500	VWA domain-containing protein	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS06515	cobalamin biosynthesis protein CobN	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS02385	cobalamin biosynthesis protein CobN	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS01615	magnesium chelatase subunit	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS02590	magnesium chelatase	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS04385	hypothetical protein	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS03140	magnesium chelatase	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS01080	magnesium chelatase	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
MTH_RS03345	magnesium chelatase	NA	NA	Methanothermobacter thermautotrophicus str. Delta H	Archaea	Euryarchaeota	Methanothermobacter
RS_RS20110	VWA domain-containing protein	NA	NA	Ralstonia solanacearum GMI1000	Bacteria	Proteobacteria	Ralstonia
RS_RS20115	cobaltochelatase	NA	NA	Ralstonia solanacearum GMI1000	Bacteria	Proteobacteria	Ralstonia
SAVERM_RS32980	VWA domain-containing protein	NA	NA	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria	Actinobacteria	Streptomyces
SAVERM_RS32985	cobaltochelatase subunit CobN	NA	NA	Streptomyces avermitilis MA-4680 = NBRC 14893	Bacteria	Actinobacteria	Streptomyces
SYC_RS09710	magnesium-chelatase subunit ChlD	NA	NA	Synechococcus elongatus PCC 6301	Bacteria	Cyanobacteria	Synechococcus
SYC_RS07455	cobaltochelatase subunit CobN	NA	NA	Synechococcus elongatus PCC 6301	Bacteria	Cyanobacteria	Synechococcus
SYC_RS10420	magnesium chelatase subunit H	NA	NA	Synechococcus elongatus PCC 6301	Bacteria	Cyanobacteria	Synechococcus
SYC_RS04995	magnesium chelatase ATPase subunit I	NA	NA	Synechococcus elongatus PCC 6301	Bacteria	Cyanobacteria	Synechococcus
SGR_RS28145	VWA domain-containing protein	NA	NA	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria	Actinobacteria	Streptomyces
SGR_RS18935	cobaltochelatase subunit CobN	NA	NA	Streptomyces griseus subsp. griseus NBRC 13350	Bacteria	Actinobacteria	Streptomyces
MAE_RS19855	magnesium chelatase ATPase subunit D	NA	NA	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	Microcystis
MAE_RS18970	cobaltochelatase subunit CobN	NA	NA	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	Microcystis
MAE_RS05375	magnesium chelatase subunit H	NA	NA	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	Microcystis
MAE_RS21225	magnesium chelatase ATPase subunit I	NA	NA	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	Microcystis
MAE_RS26900	magnesium chelatase subunit H	NA	NA	Microcystis aeruginosa NIES-843	Bacteria	Cyanobacteria	Microcystis
TVG_RS03310	VWA domain-containing protein	NA	NA	Thermoplasma volcanium GSS1	Archaea	Euryarchaeota	Thermoplasma
CE_RS09435	magnesium chelatase	NA	NA	Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Corynebacterium
CE_RS09435_fs_CE_RS09430	magnesium chelatase | VWA domain-containing protein	NA	1	Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Corynebacterium
CE_RS05625	magnesium chelatase	NA	NA	Corynebacterium efficiens YS-314	Bacteria	Actinobacteria	Corynebacterium
NCgl1922	Mg-chelatase subunit ChlI	NA	NA	Corynebacterium glutamicum ATCC 13032	Bacteria	Actinobacteria	Corynebacterium
NCgl1922_fs_NCgl1921	Mg-chelatase subunit ChlI | Mg-chelatase subunit ChlD	NA	1	Corynebacterium glutamicum ATCC 13032	Bacteria	Actinobacteria	Corynebacterium
tll1413	magnesium-chelatase subunit	chlD	NA	Thermosynechococcus elongatus BP-1	Bacteria	Cyanobacteria	Thermosynechococcus
tlr0900	cobaltochelatase subunit CobN	cobN	NA	Thermosynechococcus elongatus BP-1	Bacteria	Cyanobacteria	Thermosynechococcus
tlr0271	magnesium chelatase subunit H	chlH	NA	Thermosynechococcus elongatus BP-1	Bacteria	Cyanobacteria	Thermosynechococcus
tll1511	magnesium-chelatase subunit	chlI	NA	Thermosynechococcus elongatus BP-1	Bacteria	Cyanobacteria	Thermosynechococcus
gvip115	Mg chelatase subunit	chlD	NA	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacter
gvip423	cobaltochelatase subunit CobN	cobN	NA	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacter
gvip363	magnesium chelatase subunit H	chlH	NA	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacter
gvip235	magnesium protoporphyrin chelatase	chlI	NA	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacter
gvip458	magnesium protoporphyrin chelatase	chlH	NA	Gloeobacter violaceus PCC 7421	Bacteria	Cyanobacteria	Gloeobacter
TX50_RS01495	magnesium chelatase ATPase subunit D	NA	NA	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	Cyanobacteria	Prochlorococcus
TX50_RS04700	cobaltochelatase subunit CobN	NA	NA	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	Cyanobacteria	Prochlorococcus
TX50_RS04450	magnesium chelatase subunit H	NA	NA	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	Cyanobacteria	Prochlorococcus
TX50_RS05670	magnesium chelatase ATPase subunit I	NA	NA	Prochlorococcus marinus subsp. pastoris str. CCMP1986	Bacteria	Cyanobacteria	Prochlorococcus
AKG35_RS10095	magnesium chelatase ATPase subunit D	NA	NA	Prochlorococcus marinus str. MIT 9313	Bacteria	Cyanobacteria	Prochlorococcus
AKG35_RS03795	cobaltochelatase subunit CobN	NA	NA	Prochlorococcus marinus str. MIT 9313	Bacteria	Cyanobacteria	Prochlorococcus
AKG35_RS04240	magnesium chelatase subunit H	NA	NA	Prochlorococcus marinus str. MIT 9313	Bacteria	Cyanobacteria	Prochlorococcus
AKG35_RS06085	magnesium chelatase ATPase subunit I	NA	NA	Prochlorococcus marinus str. MIT 9313	Bacteria	Cyanobacteria	Prochlorococcus
BPSL1767	magnesium chelatase	NA	NA	Burkholderia pseudomallei K96243	Bacteria	Proteobacteria	Burkholderia
BPSL1767_fs_BPSL1766	magnesium chelatase | hypothetical protein	NA	-1	Burkholderia pseudomallei K96243	Bacteria	Proteobacteria	Burkholderia
BPSL1768	cobaltochelatase subunit CobN	cobN	NA	Burkholderia pseudomallei K96243	Bacteria	Proteobacteria	Burkholderia
TFU_RS01550	VWA domain-containing protein	NA	NA	Thermobifida fusca YX	Bacteria	Actinobacteria	Thermobifida
TFU_RS01580	cobaltochelatase subunit CobN	NA	NA	Thermobifida fusca YX	Bacteria	Actinobacteria	Thermobifida
PMN2A_RS01675	magnesium chelatase ATPase subunit D	NA	NA	Prochlorococcus marinus str. NATL2A	Bacteria	Cyanobacteria	Prochlorococcus
PMN2A_RS04590	cobaltochelatase subunit CobN	NA	NA	Prochlorococcus marinus str. NATL2A	Bacteria	Cyanobacteria	Prochlorococcus
PMN2A_RS04865	magnesium chelatase subunit H	NA	NA	Prochlorococcus marinus str. NATL2A	Bacteria	Cyanobacteria	Prochlorococcus
PMN2A_RS06655	magnesium chelatase ATPase subunit I	NA	NA	Prochlorococcus marinus str. NATL2A	Bacteria	Cyanobacteria	Prochlorococcus
CAG_RS08505	magnesium chelatase ATPase subunit D	NA	NA	Chlorobium chlorochromatii CaD3	Bacteria	Chlorobi	Chlorobium
CAG_RS05175	magnesium chelatase subunit H	NA	NA	Chlorobium chlorochromatii CaD3	Bacteria	Chlorobi	Chlorobium
CAG_RS01210	magnesium chelatase subunit H	NA	NA	Chlorobium chlorochromatii CaD3	Bacteria	Chlorobi	Chlorobium
CAG_RS08510	magnesium chelatase ATPase subunit I	NA	NA	Chlorobium chlorochromatii CaD3	Bacteria	Chlorobi	Chlorobium
PMT9312_RS01470	magnesium chelatase ATPase subunit D	NA	NA	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	Prochlorococcus
PMT9312_RS04710	cobaltochelatase subunit CobN	NA	NA	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	Prochlorococcus
PMT9312_RS04960	magnesium chelatase subunit H	NA	NA	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	Prochlorococcus
PMT9312_RS05490	magnesium chelatase ATPase subunit I	NA	NA	Prochlorococcus marinus str. MIT 9312	Bacteria	Cyanobacteria	Prochlorococcus
RSP_0273	protoporphyrin IX magnesium-chelatase	bchI	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
RSP_0274	Magnesium-chelatase, subunit D	bchD	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
RSP_0287	cobaltochelatase CobN subunit	bchH	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
RSP_1977	cobaltochelatase CobS subunit	cobS	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
RSP_1976	cobaltochelatase CobT subunit	cobT	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
RSP_2827	cobaltochelatase CobN subunit	cobN	NA	Rhodobacter sphaeroides 2.4.1	Bacteria	Proteobacteria	Rhodobacter
HCH_RS29185	VWA domain-containing protein	NA	NA	Hahella chejuensis KCTC 2396	Bacteria	Proteobacteria	Hahella
HCH_RS29345	cobaltochelatase subunit CobN	NA	NA	Hahella chejuensis KCTC 2396	Bacteria	Proteobacteria	Hahella
Rru_A0486	magnesium chelatase subunit D	bchD	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
Rru_A0485	protoporphyrin IX magnesium-chelatase	NA	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
Rru_A3366	cobaltochelatase subunit CobN	cobN	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
Rru_A0621	magnesium chelatase subunit H	bchH	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
Rru_A0207	cobalt chelatase subunit CobT	NA	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
Rru_A0206	hydrogenobyrinic acid a,c-diamide cobaltochelatase	NA	NA	Rhodospirillum rubrum ATCC 11170	Bacteria	Proteobacteria	Rhodospirillum
FRANCCI3_RS11550	VWA domain-containing protein	NA	NA	Frankia casuarinae	Bacteria	Actinobacteria	Frankia
FRANCCI3_RS07620	cobaltochelatase subunit CobN	NA	NA	Frankia casuarinae	Bacteria	Actinobacteria	Frankia
RPB_RS20240	magnesium chelatase ATPase subunit D	bchD	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
RPB_RS03755	cobaltochelatase subunit CobN	NA	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
RPB_RS02750	cobaltochelatase subunit CobT	cobT	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
RPB_RS02740	cobaltochelatase subunit CobS	cobS	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
RPB_RS20065	magnesium chelatase subunit H	NA	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
RPB_RS20245	magnesium chelatase ATPase subunit I	bchI	NA	Rhodopseudomonas palustris HaA2	Bacteria	Proteobacteria	Rhodopseudomonas
MHUN_RS01510	VWA domain-containing protein	NA	NA	Methanospirillum hungatei JF-1	Archaea	Euryarchaeota	Methanospirillum
MHUN_RS17030	VWA domain-containing protein	NA	NA	Methanospirillum hungatei JF-1	Archaea	Euryarchaeota	Methanospirillum
MHUN_RS01465	cobaltochelatase subunit CobN	NA	NA	Methanospirillum hungatei JF-1	Archaea	Euryarchaeota	Methanospirillum
MHUN_RS01515	cobaltochelatase subunit CobN	NA	NA	Methanospirillum hungatei JF-1	Archaea	Euryarchaeota	Methanospirillum
MHUN_RS01430	magnesium chelatase	NA	NA	Methanospirillum hungatei JF-1	Archaea	Euryarchaeota	Methanospirillum
BXE_RS28850	magnesium chelatase	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
BXE_RS28850_fs_BXE_RS28855	magnesium chelatase | VWA domain-containing protein	NA	-1	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
BXE_RS28845	cobaltochelatase subunit CobN	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
BXE_RS33470	aerobic cobaltochelatase subunit CobS	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
BXE_RS33465	cobaltochelatase	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
BXE_RS30550	cobalamin biosynthesis protein CobT	NA	NA	Paraburkholderia xenovorans LB400	Bacteria	Proteobacteria	Paraburkholderia
RPC_RS06295	magnesium chelatase ATPase subunit D	bchD	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RPC_RS06290	magnesium chelatase ATPase subunit I	bchI	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RPC_RS02730	cobaltochelatase subunit CobT	cobT	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RPC_RS06605	magnesium chelatase subunit H	NA	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RPC_RS02720	cobaltochelatase subunit CobS	cobS	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RPC_RS09470	cobaltochelatase subunit CobN	NA	NA	Rhodopseudomonas palustris BisB18	Bacteria	Proteobacteria	Rhodopseudomonas
RXYL_RS03170	VWA domain-containing protein	NA	NA	Rubrobacter xylanophilus DSM 9941	Bacteria	Actinobacteria	Rubrobacter
RXYL_RS03165	cobaltochelatase subunit CobN	NA	NA	Rubrobacter xylanophilus DSM 9941	Bacteria	Actinobacteria	Rubrobacter
TERY_RS23950	magnesium chelatase ATPase subunit D	NA	NA	Trichodesmium erythraeum IMS101	Bacteria	Cyanobacteria	Trichodesmium
TERY_RS15455	magnesium chelatase subunit H	NA	NA	Trichodesmium erythraeum IMS101	Bacteria	Cyanobacteria	Trichodesmium
TERY_RS26830	cobaltochelatase subunit CobN	NA	NA	Trichodesmium erythraeum IMS101	Bacteria	Cyanobacteria	Trichodesmium
TERY_RS04085	magnesium chelatase subunit H	NA	NA	Trichodesmium erythraeum IMS101	Bacteria	Cyanobacteria	Trichodesmium
TERY_RS17410	magnesium chelatase ATPase subunit I	NA	NA	Trichodesmium erythraeum IMS101	Bacteria	Cyanobacteria	Trichodesmium
RHA1_RS32330	VWA domain-containing protein	NA	NA	Rhodococcus jostii RHA1	Bacteria	Actinobacteria	Rhodococcus
RHA1_RS00885	cobaltochelatase subunit CobN	NA	NA	Rhodococcus jostii RHA1	Bacteria	Actinobacteria	Rhodococcus
RHA1_RS17380	aerobic cobaltochelatase subunit CobS	NA	NA	Rhodococcus jostii RHA1	Bacteria	Actinobacteria	Rhodococcus
RHA1_RS17385	cobaltochelatase	NA	NA	Rhodococcus jostii RHA1	Bacteria	Actinobacteria	Rhodococcus
RPE_RS06595	magnesium chelatase ATPase subunit D	bchD	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
RPE_RS06590	magnesium chelatase ATPase subunit I	bchI	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
RPE_RS11220	cobaltochelatase subunit CobN	NA	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
RPE_RS00665	cobaltochelatase subunit CobT	cobT	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
RPE_RS00680	cobaltochelatase subunit CobS	cobS	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
RPE_RS06795	magnesium chelatase subunit H	NA	NA	Rhodopseudomonas palustris BisA53	Bacteria	Proteobacteria	Rhodopseudomonas
SFUM_RS02565	VWA domain-containing protein	NA	NA	Syntrophobacter fumaroxidans MPOB	Bacteria	Proteobacteria	Syntrophobacter
SFUM_RS02555	cobaltochelatase subunit CobN	NA	NA	Syntrophobacter fumaroxidans MPOB	Bacteria	Proteobacteria	Syntrophobacter
SFUM_RS02560	magnesium chelatase	NA	NA	Syntrophobacter fumaroxidans MPOB	Bacteria	Proteobacteria	Syntrophobacter
MSMEG_2615	chelatase	NA	NA	Mycobacterium smegmatis str. MC2 155	Bacteria	Actinobacteria	Mycobacterium
MSMEG_3864	cobaltochelatase subunit CobN	cobN	NA	Mycobacterium smegmatis str. MC2 155	Bacteria	Actinobacteria	Mycobacterium
MSMEG_5512	magnesium chelatase	NA	NA	Mycobacterium smegmatis str. MC2 155	Bacteria	Actinobacteria	Mycobacterium
PPRO_RS10340	VWA domain-containing protein	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS06220	VWA domain-containing protein	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS06210	cobaltochelatase subunit CobN	cobN	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS10330	cobaltochelatase subunit CobN	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS06070	cobaltochelatase	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS10335	magnesium chelatase	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
PPRO_RS06225	magnesium chelatase	NA	NA	Pelobacter propionicus DSM 2379	Bacteria	Proteobacteria	Pelobacter
CPHA266_RS08445	magnesium chelatase ATPase subunit D	NA	NA	Chlorobium phaeobacteroides DSM 266	Bacteria	Chlorobi	Chlorobium
CPHA266_RS11980	magnesium chelatase subunit H	NA	NA	Chlorobium phaeobacteroides DSM 266	Bacteria	Chlorobi	Chlorobium
CPHA266_RS11965	magnesium chelatase subunit H	NA	NA	Chlorobium phaeobacteroides DSM 266	Bacteria	Chlorobi	Chlorobium
CPHA266_RS08450	magnesium chelatase ATPase subunit I	NA	NA	Chlorobium phaeobacteroides DSM 266	Bacteria	Chlorobi	Chlorobium
MVAN_RS11540	VWA domain-containing protein	NA	NA	Mycobacterium vanbaalenii PYR-1	Bacteria	Actinobacteria	Mycobacterium
MVAN_RS17205	cobaltochelatase subunit CobN	NA	NA	Mycobacterium vanbaalenii PYR-1	Bacteria	Actinobacteria	Mycobacterium
MVAN_RS24390	magnesium chelatase	NA	NA	Mycobacterium vanbaalenii PYR-1	Bacteria	Actinobacteria	Mycobacterium
HHAL_RS08160	VWA domain-containing protein	bchD	NA	Halorhodospira halophila SL1	Bacteria	Proteobacteria	Halorhodospira
HHAL_RS08230	magnesium chelatase subunit H	NA	NA	Halorhodospira halophila SL1	Bacteria	Proteobacteria	Halorhodospira
HHAL_RS08165	magnesium chelatase ATPase subunit I	NA	NA	Halorhodospira halophila SL1	Bacteria	Proteobacteria	Halorhodospira
A9601_RS10645	magnesium chelatase ATPase subunit D	NA	NA	Prochlorococcus marinus str. AS9601	Bacteria	Cyanobacteria	Prochlorococcus
